iter	Passed	Remaining
412	1131	1608
413	1133	1603
414	1135	1601
415	1137	1597
416	1139	1592
417	1140	1588
418	1142	1584
419	1144	1579
420	1145	1575
421	1147	1571
422	1149	1567
423	1150	1563
424	1152	1559
425	1154	1555
426	1155	1550
427	1157	1546
428	1158	1542
429	1160	1538
430	1162	1535
431	1164	1531
432	1166	1527
433	1168	1523
434	1170	1519
435	1171	1515
436	1173	1511
437	1175	1507
438	1176	1503
439	1178	1499
440	1179	1495
441	1181	1491
442	1182	1487
443	1184	1483
444	1185	1479
445	1187	1475
446	1189	1471
447	1191	1467
448	1192	1463
449	1194	1460
450	1196	1456
451	1198	1452
452	1199	1448
453	1201	1444
454	1203	1441
455	1205	1437
456	1206	1434
457	1208	1430
458	1210	1426
459	1211	1422
460	1213	1418
461	1214	1414
462	1216	1410
463	1217	1406
464	1220	1403
465	1221	1400
466	1223	1396
467	1224	1392
468	1227	1390
469	1229	1386
470	1230	1382
471	1233	1379
472	1234	1375
473	1236	1371
474	1237	1367
475	1239	1364
476	1240	1360
477	1242	1356
478	1243	1352
479	1244	1348
480	1246	1345
481	1248	1341
482	1249	1337
483	1251	1333
484	1252	1330
485	1253	1326
486	1255	1322
487	1256	1318
488	1257	1314
489	1259	1310
490	1260	1306
491	1262	1303
492	1264	1300
493	1266	1296
494	1267	1293
495	1268	1289
496	1270	1285
497	1272	1283
498	1274	1279
499	1276	1276
500	1277	1272
501	1279	1269
502	1280	1265
503	1282	1261
504	1283	1258
505	1285	1255
506	1287	1251
507	1288	1248
508	1290	1244
509	1291	1241
510	1293	1237
511	1294	1233
512	1295	1230
513	1297	1226
514	1298	1222
515	1299	1219
516	1300	1215
517	1302	1211
518	1303	1208
519	1304	1204
520	1306	1201
521	1307	1197
522	1309	1194
523	1310	1190
524	1311	1186
525	1312	1183
526	1314	1179
527	1315	1175
528	1316	1172
529	1318	1168
530	1319	1165
531	1320	1161
532	1321	1158
533	1323	1154
534	1324	1151
535	1325	1147
536	1326	1144
537	1328	1140
538	1329	1136
539	1330	1133
540	1332	1130
541	1333	1126
542	1334	1123
543	1335	1119
544	1337	1116
545	1338	1112
546	1339	1109
547	1340	1106
548	1342	1102
549	1343	1099
550	1345	1096
551	1346	1092
552	1348	1089
553	1349	1086
554	1350	1083
555	1352	1079
556	1353	1076
557	1354	1073
558	1355	1069
559	1357	1066
560	1358	1062
561	1359	1059
562	1361	1056
563	1362	1053
564	1364	1050
565	1365	1047
566	1367	1044
567	1368	1040
568	1369	1037
569	1371	1034
570	1373	1031
571	1374	1028
572	1376	1025
573	1378	1022
574	1380	1020
575	1381	1017
576	1383	1013
577	1384	1010
578	1386	1007
579	1387	1004
580	1389	1001
581	1390	998
582	1392	996
583	1394	993
584	1395	990
585	1397	987
586	1399	984
587	1401	981
588	1403	979
589	1405	976
590	1406	973
591	1408	970
592	1410	968
593	1412	965
594	1413	962
595	1416	960
596	1418	957
597	1420	954
598	1422	952
599	1424	949
600	1425	946
601	1427	943
602	1429	940
603	1431	938
604	1433	935
605	1435	933
606	1436	930
607	1438	927
608	1439	924
609	1441	921
610	1442	918
611	1444	915
612	1445	912
613	1447	910
614	1449	907
615	1450	904
616	1452	901
617	1453	898
618	1455	895
619	1457	893
620	1459	890
621	1461	888
622	1464	885
623	1465	883
624	1467	880
625	1469	877
626	1470	875
627	1472	872
628	1474	869
629	1476	866
630	1477	864
631	1479	861
632	1481	859
633	1484	856
634	1486	854
635	1488	851
636	1490	849
637	1492	846
638	1494	844
639	1495	841
640	1500	840
641	1502	837
642	1504	835
643	1508	833
644	1510	831
645	1513	829
646	1516	827
647	1520	826
648	1522	823
649	1525	821
650	1527	819
651	1531	817
652	1532	814
653	1534	811
654	1537	809
655	1539	807
656	1540	804
657	1543	802
658	1545	799
659	1547	797
660	1552	796
661	1554	793
662	1556	791
663	1559	789
664	1561	786
665	1563	784
666	1565	781
667	1568	779
668	1570	777
669	1572	774
670	1575	772
671	1578	770
672	1581	768
673	1583	766
674	1585	763
675	1587	760
676	1589	758
677	1591	755
678	1593	753
679	1595	750
680	1597	748
681	1599	745
682	1601	743
683	1603	740
684	1605	738
685	1606	735
686	1608	732
687	1611	730
688	1612	728
689	1614	725
690	1615	722
691	1616	719
692	1618	717
693	1620	714
694	1621	711
695	1623	709
696	1625	706
697	1627	703
698	1628	701
699	1630	698
700	1631	696
701	1634	693
702	1635	691
703	1637	688
704	1639	685
705	1641	683
706	1643	681
707	1646	678
708	1649	677
709	1651	674
710	1653	672
711	1655	669
712	1657	666
713	1658	664
714	1664	663
715	1666	660
716	1668	658
717	1670	655
718	1672	653
719	1674	651
720	1676	648
721	1678	646
722	1680	643
723	1682	641
724	1684	638
725	1686	636
726	1688	634
727	1689	631
728	1691	628
729	1694	626
730	1696	624
731	1698	621
732	1700	619
733	1702	616
734	1704	614
735	1706	612
736	1710	610
737	1712	607
738	1714	605
739	1716	602
740	1718	600
741	1720	598
742	1722	595
743	1724	593
744	1726	591
745	1728	588
746	1731	586
747	1733	584
748	1735	581
749	1736	578
750	1739	576
751	1740	574
752	1744	572
753	1745	569
754	1748	567
755	1750	564
756	1752	562
757	1754	560
758	1756	557
759	1758	555
760	1760	552
761	1762	550
762	1764	547
763	1765	545
764	1766	542
765	1769	540
766	1771	538
767	1773	535
768	1775	533
769	1777	530
770	1779	528
771	1780	525
772	1782	523
773	1784	520
774	1785	518
775	1787	515
776	1789	513
777	1791	511
778	1792	508
779	1794	506
780	1795	503
781	1797	501
782	1799	498
783	1801	496
784	1802	493
785	1804	491
786	1806	488
787	1808	486
788	1809	483
789	1812	481
790	1814	479
791	1816	476
792	1817	474
793	1819	472
794	1821	469
795	1823	467
796	1824	464
797	1826	462
798	1828	459
799	1829	457
800	1831	455
801	1833	452
802	1834	450
803	1836	447
804	1838	445
805	1840	443
806	1843	440
807	1844	438
808	1846	435
809	1848	433
810	1850	431
811	1852	428
812	1854	426
813	1855	424
814	1858	421
815	1860	419
816	1862	417
817	1864	414
818	1866	412
819	1868	410
820	1870	407
821	1874	405
822	1876	403
823	1878	401
824	1881	399
825	1883	396
826	1885	394
827	1887	392
828	1889	389
829	1891	387
830	1893	385
831	1896	382
832	1898	380
833	1900	378
834	1902	375
835	1904	373
836	1906	371
837	1909	369
838	1912	366
839	1914	364
840	1916	362
841	1918	360
842	1921	357
843	1926	356
844	1928	353
845	1930	351
846	1934	349
847	1936	347
848	1938	344
849	1942	342
850	1945	340
851	1950	338
852	1958	337
853	1960	335
854	1961	332
855	1964	330
856	1966	328
857	1967	325
858	1969	323
859	1971	320
860	1973	318
861	1974	316
862	1976	313
863	1978	311
864	1980	309
865	1982	306
866	1983	304
867	1986	302
868	1988	299
869	1990	297
870	1992	295
871	1998	293
872	2001	291
873	2003	288
874	2006	286
875	2008	284
876	2010	281
877	2012	279
878	2014	277
879	2016	275
880	2018	272
881	2019	270
882	2022	268
883	2024	265
884	2026	263
885	2028	260
886	2030	258
887	2032	256
888	2034	253
889	2036	251
890	2038	249
891	2040	246
892	2042	244
893	2044	242
894	2045	240
895	2047	237
896	2048	235
897	2051	232
898	2053	230
899	2055	228
900	2057	226
901	2059	223
902	2060	221
903	2062	218
904	2063	216
905	2066	214
906	2073	212
907	2075	210
908	2077	207
909	2079	205
910	2082	203
911	2084	201
912	2087	198
913	2089	196
914	2091	194
915	2093	191
916	2094	189
917	2098	187
918	2100	185
919	2102	182
920	2104	180
921	2106	178
922	2108	175
923	2110	173
924	2112	171
925	2114	168
926	2116	166
927	2119	164
928	2127	162
929	2135	160
930	2137	158
931	2140	156
932	2142	153
933	2144	151
934	2148	149
935	2150	147
936	2153	144
937	2156	142
938	2158	140
939	2160	137
940	2163	135
941	2170	133
942	2172	131
943	2176	129
944	2178	126
945	2180	124
946	2182	122
947	2185	119
948	2192	117
949	2194	115
950	2196	113
951	2200	110
952	2202	108
953	2208	106
954	2211	104
955	2215	101
956	2218	99
957	2220	97
958	2223	95
959	2226	92
960	2228	90
961	2232	88
962	2235	85
963	2237	83
964	2240	81
965	2247	79
966	2249	76
967	2253	74
968	2255	72
969	2258	69
970	2260	67
971	2263	65
972	2265	62
973	2267	60
974	2271	58
975	2273	55
976	2276	53
977	2282	51
978	2287	49
979	2291	46
980	2293	44
981	2295	42
982	2297	39
983	2301	37
984	2304	35
985	2306	32
986	2308	30
987	2311	28
988	2315	25
989	2318	23
990	2321	21
991	2323	18
992	2324	16
993	2326	14
994	2328	11
995	2330	9
996	2333	7
997	2336	4
998	2338	2
999	2340	0
